Cidade_estado,Valorizacao_anual_12m,BRL_metro_quad
"São Paulo, SP",0.0486,8339
"Rio de Janeiro, RJ",0.0213,10226
"Belo Horizonte, MG",0.0669,9859
"Brasília, DF",0.0065,7654
"Salvador, BA",0.0596,8797
"Fortaleza, CE",0.083,5560
"Recife, PE",0.1158,6853
"Porto Alegre, RS",0.0239,7261
"Curitiba, PR",0.1292,6543
"Florianópolis, SC",0.1095,8548
"Vitória, ES",0.1861,9690
"Goiânia, GO",0.2006,10444
"João Pessoa, PB",0.1069,6259
"Campo Grande, MS",0.1352,5463
"Maceió, AL",0.1261,5305
"Manaus, AM",0.0738,7181
"Barueri, SP",0.0865,5877
"Campinas, SP",0.0443,8719
"Diadema, SP",0.0836,5722
"Guarujá, SP",0.0857,5911
"Guarulhos, SP",0.0706,5608
"Osasco, SP",0.0841,5744
"Praia Grande, SP",0.1402,6763
"Ribeirão Preto, SP",0.0548,5088
"Santo André, SP",0.0984,4383
"Santos, SP",0.0788,6433
"São Bernardo do Campo, SP",0.0613,5941
"São Caetano do Sul, SP",0.1123,5633
"São José do Rio Preto, SP",0.0528,7439
"São José dos Campos, SP",0.1746,4806
"São Vicente, SP",0.0297,6790
"Betim, MG",0.0825,4161
"Contagem, MG",0.0408,3598
"Londrina, PR",0.0484,4461
"São José dos Pinhais, PR",0.0838,4393
"Canoas, RS",-0.0067,4326
"Caxias do Sul, RS",0.0863,4884
"Novo Hamburgo, RS",0.0681,4873
"Pelotas, RS",0.0281,4541
"Santa Maria, RS",0.0323,4088
"São Leopoldo, RS",0.0373,4808
"Niterói, RJ",0.0048,4327
"Balneário Camboriú, SC",0.208,6753
"Blumenau, SC",0.166,11534
"Itajaí, SC",0.1604,5501
"Itapema, SC",0.1654,9357
"Joinville, SC",0.0992,10614
"São José, SC",0.1525,5949
"Vila Velha, ES",0.1862,6005
"Jaboatão dos Guararape, PE",0.0578,7311
